['comp' '202104061805' '14.55' '-0.09' '22.06' '13.09'],['comp' '202104062349' '15.0' '-0.03' '22.75' '13.19'],['comp' '202104071414' '16.37' '-0.03' '23.9' '13.83'],['comp' '202104071526' '17.14' '0.04' '25.17' '13.9'],['comp' '202104071638' '12.89' '0.12' '22.67' '8.96'],['comp' '202104071749' '12.46' '0.22' '20.58' '3.67'],['comp' '202104071901' '11.95' '0.25' '22.29' '3.62'],['comp' '202104072213' '13.11' '0.29' '25.28' '4.78'],['comp' '202104072315' '14.62' '0.11' '24.12' '1.62'],['comp' '202104081433' '22.21' '0.0' '34.0' '8.07'],['comp' '202104081636' '22.15' '0.0' '30.62' '6.38'],['comp' '202104081738' '36.73' '0.0' '41.0' '15.27'],['comp' '202104081840' '31.44' '0.0' '45.33' '15.22'],['comp' '202104082043' '11.29' '0.0' '43.0' '-3.86'],['comp' '202104082145' '24.4' '0.0' '86.6' '10.8'],['comp' '202104082246' '31.67' '0.0' '84.0' '10.0'],['comp' '202104091249' '150.0' '0.0' '291.0' '121.0']
['ust' '202104061805' '31.23' '-0.03' '39.03' '20.44'],['ust' '202104062349' '31.55' '-0.04' '38.74' '20.16'],['ust' '202104071414' '33.83' '-0.04' '41.19' '21.72'],['ust' '202104071526' '33.29' '-0.03' '37.91' '21.03'],['ust' '202104071638' '30.27' '-0.03' '34.24' '18.39'],['ust' '202104071749' '28.5' '-0.02' '32.8' '17.07'],['ust' '202104071901' '35.37' '-0.02' '40.89' '22.48'],['ust' '202104072213' '42.67' '-0.03' '50.0' '28.42'],['ust' '202104072315' '44.95' '-0.01' '53.45' '30.95'],['ust' '202104081433' '54.7' '0.0' '63.55' '38.7'],['ust' '202104081636' '57.11' '0.0' '66.63' '40.95'],['ust' '202104081738' '72.53' '0.0' '83.71' '53.47'],['ust' '202104081840' '60.8' '0.0' '69.67' '47.6'],['ust' '202104081941' '37.85' '0.0' '36.85' '30.23'],['ust' '202104082043' '62.4' '0.0' '56.5' '53.3'],['ust' '202104082145' '70.14' '0.0' '70.57' '53.14'],['ust' '202104082246' '96.0' '0.0' '97.0' '83.25'],['ust' '202104091249' '262.0' '0.0' '321.0' '291.0']
['ren' '202104061805' '15.15' '-0.4' '32.3' '24.0'],['ren' '202104062349' '15.38' '-0.42' '33.12' '24.94'],['ren' '202104071414' '16.53' '-0.33' '36.07' '27.2'],['ren' '202104071526' '15.62' '-0.3' '34.86' '24.55'],['ren' '202104071638' '14.48' '-0.29' '33.96' '22.07'],['ren' '202104071749' '14.08' '-0.28' '35.79' '21.79'],['ren' '202104071901' '19.05' '-0.32' '43.76' '28.38'],['ren' '202104072213' '27.5' '-0.38' '56.33' '38.06'],['ren' '202104072315' '29.75' '-0.14' '61.75' '40.44'],['ren' '202104081433' '36.29' '0.0' '73.86' '50.79'],['ren' '202104081636' '36.0' '0.0' '76.0' '49.62'],['ren' '202104081738' '54.45' '0.0' '103.27' '71.45'],['ren' '202104081840' '58.44' '0.0' '108.11' '70.78'],['ren' '202104082043' '35.43' '0.0' '84.14' '43.71'],['ren' '202104082145' '52.6' '0.0' '117.0' '49.4'],['ren' '202104082246' '108.67' '0.0' '205.0' '88.33'],['ren' '202104091249' '371.0' '0.0' '686.0' '347.0']
['win' '202104061805' '9.23' '-1.55' '12.77' '7.77'],['win' '202104062349' '9.58' '-1.39' '12.66' '7.84'],['win' '202104071414' '8.11' '-0.96' '11.06' '6.86'],['win' '202104071526' '7.4' '-0.88' '9.0' '6.09'],['win' '202104071638' '5.06' '-0.81' '5.61' '4.15'],['win' '202104071749' '3.57' '-0.77' '2.43' '3.6'],['win' '202104071901' '4.19' '-0.85' '5.07' '3.93'],['win' '202104072213' '5.29' '-0.96' '5.42' '3.46'],['win' '202104072315' '5.32' '-0.35' '9.05' '4.68'],['win' '202104081433' '9.8' '0.0' '12.85' '10.0'],['win' '202104081636' '8.21' '0.0' '8.26' '9.63'],['win' '202104081738' '11.88' '0.0' '8.18' '14.0'],['win' '202104081840' '13.4' '0.0' '8.93' '12.53'],['win' '202104081941' '4.38' '0.0' '2.69' '4.85'],['win' '202104082043' '12.2' '0.0' '7.5' '15.0'],['win' '202104082145' '4.43' '0.0' '15.0' '8.14'],['win' '202104082246' '11.75' '0.0' '28.5' '11.75'],['win' '202104091249' '190.0' '0.0' '246.0' '207.0']
['rep' '202104061805' '2.7' '-0.28' '3.18' '6.09'],['rep' '202104062349' '2.78' '-0.33' '2.91' '6.22'],['rep' '202104071414' '2.53' '-0.29' '1.9' '5.5'],['rep' '202104071526' '1.59' '-0.28' '1.66' '5.28'],['rep' '202104071638' '0.59' '-0.28' '2.41' '5.37'],['rep' '202104071749' '-1.67' '-0.29' '0.04' '4.29'],['rep' '202104071901' '-0.48' '-0.33' '-4.33' '4.24'],['rep' '202104072213' '1.89' '-0.39' '-5.94' '5.22'],['rep' '202104072315' '4.12' '-0.14' '-2.62' '8.12'],['rep' '202104081738' '5.07' '0.0' '-1.29' '9.71'],['rep' '202104081840' '7.77' '0.0' '-0.38' '12.0'],['rep' '202104081941' '2.5' '0.0' '-3.58' '8.17'],['rep' '202104082043' '4.9' '0.0' '-4.1' '6.0'],['rep' '202104082145' '-0.29' '0.0' '-2.86' '-7.86'],['rep' '202104082246' '-2.5' '0.0' '2.25' '-9.25'],['rep' '202104091249' '62.0' '0.0' '36.0' '40.0']
['ark' '202104061805' '31.59' '-0.05' '26.62' '68.87'],['ark' '202104062349' '32.24' '0.04' '27.08' '70.21'],['ark' '202104071414' '33.28' '0.12' '28.31' '73.31'],['ark' '202104071526' '34.11' '0.11' '28.77' '75.11'],['ark' '202104071638' '33.73' '0.11' '28.85' '77.39'],['ark' '202104071749' '32.5' '0.1' '28.03' '79.87'],['ark' '202104071901' '34.93' '0.11' '32.15' '87.56'],['ark' '202104072213' '43.38' '0.12' '41.0' '102.5'],['ark' '202104072315' '47.45' '0.04' '44.82' '113.32'],['ark' '202104081433' '53.55' '0.0' '49.8' '126.9'],['ark' '202104081636' '55.21' '0.0' '50.47' '131.47'],['ark' '202104081738' '69.53' '0.0' '63.41' '155.0'],['ark' '202104081840' '61.73' '0.0' '59.4' '158.8'],['ark' '202104081941' '46.08' '0.0' '44.23' '151.69'],['ark' '202104082043' '77.6' '0.0' '76.8' '221.1'],['ark' '202104082145' '85.0' '0.0' '87.29' '164.57'],['ark' '202104082246' '102.75' '0.0' '98.0' '105.5'],['ark' '202104091249' '471.0' '0.0' '493.0' '322.0']
['anc' '202104061805' '31.05' '-0.09' '27.03' '27.97'],['anc' '202104062349' '32.08' '-0.09' '28.08' '29.13'],['anc' '202104071414' '33.64' '-0.12' '29.75' '30.5'],['anc' '202104071526' '33.8' '-0.11' '29.97' '30.0'],['anc' '202104071638' '29.45' '-0.11' '25.12' '25.0'],['anc' '202104071749' '26.9' '-0.12' '22.6' '22.77'],['anc' '202104071901' '32.67' '-0.13' '28.07' '27.56'],['anc' '202104072213' '37.5' '-0.15' '33.96' '32.46'],['anc' '202104072315' '40.55' '-0.05' '38.18' '35.36'],['anc' '202104081433' '51.6' '0.0' '49.75' '44.85'],['anc' '202104081636' '50.68' '0.0' '44.58' '44.68'],['anc' '202104081738' '61.12' '0.0' '52.82' '55.12'],['anc' '202104081840' '65.2' '0.0' '55.0' '57.53'],['anc' '202104081941' '55.08' '0.0' '43.0' '43.23'],['anc' '202104082043' '94.2' '0.0' '77.4' '77.3'],['anc' '202104082145' '96.71' '0.0' '74.0' '66.43'],['anc' '202104082246' '72.75' '0.0' '64.5' '49.0'],['anc' '202104091249' '395.0' '0.0' '408.0' '388.0']
['pro' '202104061805' '25.49' '-0.13' '38.26' '20.31'],['pro' '202104062349' '26.24' '-0.13' '39.26' '20.63'],['pro' '202104071414' '27.56' '-0.04' '41.39' '21.92'],['pro' '202104071526' '28.43' '0.01' '43.0' '22.14'],['pro' '202104071638' '27.48' '0.06' '43.06' '21.36'],['pro' '202104071749' '27.57' '0.12' '43.4' '20.9'],['pro' '202104071901' '30.37' '0.14' '49.11' '24.67'],['pro' '202104072213' '34.67' '0.15' '55.62' '30.08'],['pro' '202104072315' '36.32' '0.06' '59.68' '32.18'],['pro' '202104081433' '43.05' '0.0' '69.25' '39.35'],['pro' '202104081636' '42.05' '0.0' '71.95' '38.84'],['pro' '202104081738' '54.35' '0.0' '88.94' '49.65'],['pro' '202104081840' '44.27' '0.0' '69.87' '44.93'],['pro' '202104081941' '24.62' '0.0' '34.85' '31.54'],['pro' '202104082043' '35.5' '0.0' '47.5' '48.8'],['pro' '202104082145' '34.14' '0.0' '49.43' '33.57'],['pro' '202104082246' '36.75' '0.0' '51.0' '43.75'],['pro' '202104091249' '143.0' '0.0' '154.0' '136.0']
['game' '202104061805' '7.5' '-0.3' '2.05' '3.95'],['game' '202104062349' '8.84' '-0.16' '2.47' '3.58'],['game' '202104071526' '11.53' '-0.24' '5.0' '6.47'],['game' '202104071638' '9.12' '-0.26' '4.12' '4.88'],['game' '202104071749' '4.86' '-0.3' '-0.71' '1.64'],['game' '202104071901' '9.36' '-0.38' '5.0' '9.36'],['game' '202104072213' '17.44' '-0.46' '11.56' '13.67'],['game' '202104072315' '19.62' '0.0' '13.0' '15.38'],['game' '202104081941' '22.43' '0.0' '14.86' '17.14'],['game' '202104082043' '23.33' '0.0' '14.33' '15.67'],['game' '202104082145' '7.5' '0.0' '-4.0' '7.25'],['game' '202104091249' '43.0' '0.0' '38.0' '18.0']
['met' '202104061805' '15.96' '-0.08' '26.92' '11.62'],['met' '202104062349' '16.65' '-0.11' '25.17' '10.26'],['met' '202104071414' '18.76' '-0.17' '30.57' '10.81'],['met' '202104071526' '21.7' '-0.2' '32.6' '12.35'],['met' '202104071638' '11.5' '-0.24' '16.83' '6.94'],['met' '202104071749' '7.47' '-0.3' '15.2' '6.07'],['met' '202104071901' '10.92' '-0.38' '18.75' '10.58'],['met' '202104072213' '-6.44' '-0.51' '4.89' '-5.89'],['met' '202104072315' '-4.43' '-0.22' '7.0' '-1.43'],['met' '202104081738' '8.4' '0.0' '34.2' '5.6'],['met' '202104081840' '13.5' '0.0' '42.75' '9.5'],['met' '202104082145' '-1.0' '0.0' '42.67' '-6.67'],['met' '202104082246' '16.5' '0.0' '54.0' '18.5'],['met' '202104091249' '33.0' '0.0' '100.0' '37.0']
