['btc' '202104081433' '92.0' '0.0' '111.75' '135.0'],['btc' '202104081840' '59.67' '0.0' '68.0' '87.67'],['btc' '202104081941' '35.5' '0.0' '66.5' '77.5'],['btc' '202104082043' '143.0' '0.0' '192.0' '224.0']
['eth' '202104081433' '48.6' '0.0' '79.0' '40.4'],['eth' '202104081738' '39.75' '0.0' '83.5' '36.75'],['eth' '202104081840' '21.67' '0.0' '23.33' '17.33'],['eth' '202104081941' '11.5' '0.0' '31.0' '12.5'],['eth' '202104082043' '100.0' '0.0' '136.0' '100.0']
['uni' '202104081433' '38.0' '0.0' '79.0' '58.0'],['uni' '202104081840' '35.67' '0.0' '78.67' '49.67'],['uni' '202104081941' '50.0' '0.0' '108.5' '71.0'],['uni' '202104082043' '150.0' '0.0' '275.0' '184.0']
['ust' '202104081433' '91.0' '0.0' '95.4' '67.0'],['ust' '202104081738' '111.5' '0.0' '118.0' '84.75'],['ust' '202104081840' '43.0' '0.0' '31.33' '49.0'],['ust' '202104081941' '54.5' '0.0' '30.5' '57.0'],['ust' '202104082043' '186.0' '0.0' '136.0' '188.0']
['one' '202104081433' '89.8' '0.0' '136.6' '95.0'],['one' '202104081738' '94.5' '0.0' '150.0' '98.25'],['one' '202104081840' '78.67' '0.0' '140.0' '84.67'],['one' '202104081941' '99.0' '0.0' '191.0' '107.5'],['one' '202104082043' '283.0' '0.0' '475.0' '300.0']
['win' '202104081433' '27.4' '0.0' '25.4' '26.0'],['win' '202104081738' '24.25' '0.0' '6.75' '28.25'],['win' '202104081840' '25.0' '0.0' '2.67' '21.0'],['win' '202104081941' '10.0' '0.0' '-14.5' '16.5'],['win' '202104082043' '67.0' '0.0' '6.0' '83.0']
['kin' '202104081433' '47.4' '0.0' '96.4' '66.6'],['kin' '202104081738' '43.5' '0.0' '103.75' '69.0'],['kin' '202104081840' '-12.67' '0.0' '5.0' '0.67'],['kin' '202104081941' '-31.0' '0.0' '-17.5' '-22.0'],['kin' '202104082043' '12.0' '0.0' '38.0' '30.0']
['rep' '202104081840' '21.0' '0.0' '4.67' '24.33'],['rep' '202104081941' '-4.0' '0.0' '-12.0' '7.5'],['rep' '202104082043' '25.0' '0.0' '-7.0' '23.0']
['ark' '202104081433' '89.4' '0.0' '80.0' '254.8'],['ark' '202104081738' '106.25' '0.0' '90.75' '308.5'],['ark' '202104081840' '58.33' '0.0' '58.33' '325.0'],['ark' '202104081941' '79.0' '0.0' '71.0' '471.0'],['ark' '202104082043' '238.0' '0.0' '225.0' '1033.0']
['anc' '202104081433' '89.0' '0.0' '102.8' '91.8'],['anc' '202104081738' '94.0' '0.0' '91.5' '102.75'],['anc' '202104081840' '99.0' '0.0' '91.67' '107.33'],['anc' '202104081941' '115.5' '0.0' '107.5' '124.0'],['anc' '202104082043' '318.0' '0.0' '300.0' '333.0']
['pro' '202104081433' '79.8' '0.0' '111.6' '75.2'],['pro' '202104081738' '84.25' '0.0' '135.0' '81.75'],['pro' '202104081840' '26.33' '0.0' '36.33' '52.67'],['pro' '202104081941' '30.0' '0.0' '41.5' '66.0'],['pro' '202104082043' '119.0' '0.0' '152.0' '193.0']
['game' '202104081941' '30.0' '0.0' '28.0' '21.5'],['game' '202104082043' '43.0' '0.0' '38.0' '17.0']
['for' '202104081433' '79.4' '0.0' '76.2' '79.0'],['for' '202104081738' '83.0' '0.0' '85.5' '82.0'],['for' '202104081840' '56.0' '0.0' '49.33' '36.67'],['for' '202104081941' '56.5' '0.0' '58.0' '24.5'],['for' '202104082043' '190.0' '0.0' '188.0' '120.0']
['new' '202104081433' '67.6' '0.0' '111.6' '69.0'],['new' '202104081738' '73.75' '0.0' '127.25' '74.25'],['new' '202104081840' '59.0' '0.0' '49.67' '60.0'],['new' '202104081941' '76.5' '0.0' '70.0' '75.5'],['new' '202104082043' '233.0' '0.0' '218.0' '232.0']
['man' '202104081433' '26.0' '0.0' '25.8' '20.2'],['man' '202104081738' '20.75' '0.0' '18.0' '9.75'],['man' '202104081840' '5.33' '0.0' '-3.67' '-4.0'],['man' '202104081941' '0.5' '0.0' '-14.0' '-7.5'],['man' '202104082043' '71.0' '0.0' '43.0' '33.0']
['link' '202104081433' '7.0' '0.0' '100.0' '10.5'],['link' '202104081840' '0.0' '0.0' '0.0' '0.0']
['sol' '202104081433' '67.5' '0.0' '33.5' '58.5'],['sol' '202104081840' '78.0' '0.0' '45.0' '65.0']
