btc, -3.77%, 56018.59, 1.67, 10, 524.0, 15, 9, 1, 202104072213, negatif
eth, -7.37%, 1968.03, 2.38, 30, 147.0, 76, 32, 2, 202104072213, negatif
bnb, -4.77%, 372.73, 1.47, 18, 357.0, 25, 17, 3, 202104072213, negatif
usdt, 0.03%, 0.99991, 3.17, 6, 504.0, 19, 6, 4, 202104072213, positif
xrp, -6.26%, 0.91941, 1.92, 10, 19.0, 23, 12, 5, 202104072213, negatif
dot, -9.59%, 38.80, 4.83, 10, 28.0, 29, 6, 7, 202104072213, negatif
uni, -9.68%, 28.14, 4.07, 15, 103.0, 61, 15, 8, 202104072213, negatif
link, -8.97%, 30.65, 5.67, 10, 19.0, 17, 3, 10, 202104072213, negatif
doge, -3.97%, 0.058664, 5.17, 9, 36.0, 31, 6, 19, 202104072213, negatif
sol, 7.54%, 26.06, 3.3, 9, 50.0, 33, 10, 20, 202104072213, positif
cro, -11.05%, 0.184872, 4.38, 13, 61.0, 35, 8, 24, 202104072213, negatif
algo, -8.15%, 1.28, 1.78, 9, 28.0, 16, 9, 39, 202104072213, negatif
dai, 0.07%, 1.00, 1.05, 10, 186.0, 22, 21, 40, 202104072213, positif
comp, -7.78%, 454.30, 1.71, 19, 125.0, 65, 38, 47, 202104072213, negatif
ust, -0.50%, 0.995, 2.15, 33, 707.0, 114, 53, 64, 202104072213, negatif
ont, -7.09%, 1.74, 2.53, 28, 438.0, 96, 38, 72, 202104072213, negatif
one, 4.89%, 0.149004, 2.25, 30, 502.0, 72, 32, 73, 202104072213, positif
uma, -11.16%, 23.07, 2.36, 7, 13.0, 33, 14, 76, 202104072213, negatif
dent, -19.03%, 0.013955, 0.71, 6, 42.0, 12, 17, 80, 202104072213, negatif
ren, -13.08%, 0.9774, 1.68, 30, 758.0, 69, 41, 93, 202104072213, negatif
win, -32.61%, 0.001537, 4.0, 22, 104.0, 100, 25, 127, 202104072213, negatif
kin, -24.11%, 0.000298, 3.86, 30, 709.0, 81, 21, 131, 202104072213, negatif
