btc, -2.70%, 56829.45, 1.5, 19, 100.0, 36, 24, 1, 202104071638, negatif
eth, -5.06%, 1996.25, 2.41, 44, 473.0, 123, 51, 2, 202104071638, negatif
bnb, -4.68%, 369.84, 2.05, 23, 99.0, 43, 21, 3, 202104071638, negatif
usdt, -0.12%, 0.99916, 2.12, 6, 43.0, 17, 8, 4, 202104071638, negatif
xrp, -8.60%, 0.93248, 1.89, 14, 52.0, 34, 18, 5, 202104071638, negatif
ada, 0.15%, 1.20, 2.21, 9, 81.0, 31, 14, 6, 202104071638, positif
dot, -10.41%, 39.26, 3.89, 10, 64.0, 35, 9, 7, 202104071638, negatif
uni, -6.34%, 28.99, 2.63, 18, 198.0, 71, 27, 8, 202104071638, negatif
link, -1.08%, 31.68, 6.33, 11, 401.0, 19, 3, 10, 202104071638, negatif
doge, -0.10%, 0.059088, 8.67, 8, 46.0, 26, 3, 19, 202104071638, negatif
sol, 8.66%, 24.21, 2.26, 21, 177.0, 70, 31, 21, 202104071638, positif
cro, -11.04%, 0.191215, 2.77, 12, 163.0, 36, 13, 24, 202104071638, negatif
algo, -7.90%, 1.31, 1.71, 6, 39.0, 12, 7, 39, 202104071638, negatif
dai, -0.05%, 1.00, 0.7, 12, 278.0, 23, 33, 40, 202104071638, negatif
comp, -9.50%, 446.48, 1.82, 21, 153.0, 62, 34, 49, 202104071638, negatif
etc, 5.63%, 17.92, 0.86, 7, 62.0, 12, 14, 56, 202104071638, positif
ust, -0.45%, 0.997, 2.22, 40, 153.0, 153, 69, 65, 202104071638, negatif
ont, -3.60%, 1.86, 2.21, 27, 364.0, 93, 42, 70, 202104071638, negatif
mana, -8.29%, 0.869833, 1.47, 6, 105.0, 22, 15, 75, 202104071638, negatif
dent, -3.71%, 0.014211, 1.0, 14, 55.0, 38, 38, 79, 202104071638, negatif
one, -14.44%, 0.128427, 2.35, 48, 555.0, 155, 66, 84, 202104071638, negatif
ren, -6.54%, 1.00, 1.64, 42, 438.0, 97, 59, 92, 202104071638, negatif
win, -18.85%, 0.001665, 2.23, 23, 239.0, 105, 47, 120, 202104071638, negatif
kin, -20.02%, 0.000329, 2.62, 39, 245.0, 147, 56, 125, 202104071638, negatif
rep, -4.03%, 41.39, 1.81, 14, 47.0, 49, 27, 131, 202104071638, negatif
ant, -16.17%, 11.44, 2.12, 31, 205.0, 110, 52, 132, 202104071638, negatif
